model,EMA,MBI,CBR,consistency_rate
claude-sonnet-4.6,0.9066666666666667,0.08000000000000002,0.0,0.6
deepseek-v3.2,0.8466666666666666,0.013333333333333334,0.0,0.6
gemma-3-12b-it,0.20666666666666667,0.49333333333333335,0.020000000000000004,0.2
gemma-3-27b-it,0.5533333333333332,0.2666666666666667,0.0,0.3
glm-4.7-flash,0.5333333333333333,0.29333333333333333,0.02666666666666667,0.1
gpt-5.2,0.9733333333333333,0.0,0.0,0.9
grok-4.1-fast,0.6466666666666666,0.15333333333333335,0.0,0.43333333333333335
qwen3-next-80b-a3b-instruct,0.9333333333333333,0.060000000000000005,0.0,0.7666666666666667
qwen3.5-397b-a17b,0.8666666666666667,0.0,0.0,0.5666666666666667
